step,ideal-valve-2D-000029 - data/x_displacement
2,2.3767744833813612e-05
3,4.769803713067234e-05
501,0.01241679622394298
1001,0.02820464616520391
1501,0.0363593270945437
2001,0.04581524110444302
2501,0.06376009412154171
3001,0.08948495891395392
3502,0.1193130430380502
4002,0.1537709977710422
4502,0.190864970484464
5002,0.2272678793482152
5502,0.2625424824507572
6002,0.2969780531159143
6502,0.3304030671689107
7002,0.3624593658642421
7502,0.3918497116124346
8002,0.4176343182997233
8501,0.4391556116418791
9001,0.4567085317002559
9501,0.4709611082068992
10001,0.4827123335748331
10501,0.4926638035334092
11001,0.501313605146777
11501,0.5090372585528267
12001,0.5158133420140183
12501,0.5219537907880618
13001,0.5274504873176984
13501,0.5322468542757919
14001,0.5367285980633276
14502,0.5408530696245777
15002,0.5447708089863712
15502,0.5484119592276351
16002,0.5519434809311072
16502,0.5552278955084453
17002,0.5584077110931707
17502,0.561299566373126
18002,0.5640050797256972
18502,0.56654592781341
19002,0.5689557987438818
19502,0.5712611028721237
20002,0.5732857194274328
20502,0.5750681305835557
21002,0.5765608339974968
21502,0.577795708988248
22002,0.5788551327720965
22502,0.5797536575269564
23002,0.5804969203618497
23502,0.5811418083628064
24002,0.5816259022185981
24502,0.5820071375288227
25002,0.5822602248084865
25502,0.5823867932026137
26002,0.582394789656526
26502,0.5823214531945557
27002,0.582215486452567
27502,0.5821139426235431
28002,0.5820185305156553
28502,0.5819076068216076
29002,0.5817589747152174
29502,0.5815702957899378
30002,0.5813526781073308
30502,0.5811084922047993
31002,0.5808142144265276
31502,0.5804575469999802
32002,0.5800468921265247
32502,0.5795955625177058
33002,0.5791100501717981
33502,0.5785984665867978
34002,0.5780506145256197
34502,0.5774466733397683
35002,0.5767808680669588
35502,0.5761146796990382
36002,0.5754299623548003
36502,0.5746821301361902
37002,0.5738569760285512
37502,0.5729625630096826
38002,0.5720561087221603
38502,0.5711356294889349
39002,0.5701988662962825
39502,0.5692130438161975
40002,0.5682009241881907
40502,0.5670938950767435
41002,0.5659419685003411
41502,0.5646894782236511
42002,0.5633380433181034
42502,0.5619850760006251
43002,0.5606284231276872
43502,0.5592597526526732
44002,0.5577599870274506
44502,0.5561924522728219
45002,0.5546439516106421
45502,0.5530459596371584
46002,0.5513819264115976
46502,0.5496005808987403
47002,0.547886316400022
47502,0.5460373686301236
48002,0.5440787236929225
48502,0.542067745089456
49002,0.5400262478203703
49502,0.5379930148732306
50002,0.5358459405910139
50502,0.5337343426154899
51002,0.5313438803292503
51502,0.5288839136893306
52002,0.5263929339090041
52502,0.5238354571408326
53002,0.5212328954643837
53502,0.5186142342535989
54002,0.5159863399274023
54502,0.5131701210965913
55002,0.5101759184874413
55502,0.5072483246210069
56002,0.5041781630207212
56502,0.5010568399549331
57002,0.4979424400649244
57502,0.4947061057089861
58001,0.4912438131507961
58501,0.4878075228682792
59001,0.4842502792439325
59501,0.4807202443978651
60001,0.4771086795157176
60501,0.4734470449048394
61001,0.4696696624228121
61501,0.4658108909528418
62001,0.4617905266317537
62501,0.4579438755169718
63001,0.4539489120888287
63501,0.4497994905710072
64001,0.4457558833528485
64501,0.4415948667710932
65001,0.4374263402376
65501,0.4333425042054213
66001,0.4291652974506632
66501,0.4248687952187173
67001,0.4207244994954562
67501,0.4164007958323659
68001,0.4120885101939697
68501,0.4080251052495594
69001,0.4037886464839551
69501,0.3994276065913047
70001,0.395266720080828
70501,0.3911074718705481
71001,0.3868800376762145
71501,0.3827953122946808
72001,0.3788748861464832
72501,0.3749057114842771
73001,0.3708710034552871
73501,0.367078484664735
74001,0.3633583950453108
74501,0.3598241085353238
75001,0.3563774303894907
75501,0.3530748900729168
76001,0.3499898516339075
76501,0.3469309867780479
77001,0.3441436394338784
77501,0.3414697745629158
78001,0.3389426667266184
78501,0.336636265619197
79001,0.3346956220817157
79501,0.3330987504543044
80001,0.331639082525055
80501,0.3304357652416339
81001,0.3295031250035725
81501,0.3287603627514002
82001,0.3282827639495578
82501,0.3281704872494593
83001,0.3283958340859987
83501,0.3289500670925187
84001,0.3298518274889115
84501,0.3310635008906491
85001,0.3325340403005643
85501,0.3342396515089312
86001,0.3362766629664231
86501,0.3387565818878058
87001,0.3414766849048847
87501,0.3445064799376027
88001,0.3479100683534042
88501,0.3515941207437023
89001,0.3555711335327219
89501,0.3600610720208881
90001,0.3647921425317049
90501,0.3696791814870994
91001,0.3749478749202997
91501,0.3804291774202315
92001,0.3860635726362991
92501,0.3920235947861881
93001,0.3981793821015078
93501,0.4044531731387349
94001,0.4109982232922651
94501,0.4176039164824801
95001,0.4243391678034267
95501,0.4310783762657098
96001,0.4377814598120271
96501,0.4444442790322836
97001,0.4511286914673993
97501,0.4577843405879618
98001,0.4643242018851217
98501,0.4707407784128022
99001,0.4771037384770314
99501,0.4833338082987855
100001,0.4892989592168917
100501,0.4951722453534548
101001,0.500784572345436
101501,0.5061668735099849
102001,0.5114489686456258
102501,0.5163849297289766
103001,0.5212038893398756
103501,0.5257203224531215
104001,0.5299917761768989
104501,0.5341083922146541
105001,0.537916540034961
105501,0.5416480152578906
106001,0.5450350033804237
106501,0.5482698501243071
107001,0.551199987049771
107501,0.5540327450360769
108001,0.5566604670710527
108501,0.5591551330799465
109001,0.5614668809253287
109501,0.5635952031241829
110001,0.5656166069813715
110501,0.5675001869279421
111001,0.5692293446736285
111501,0.5708167562847677
112001,0.5723320321738494
112501,0.5736676208096465
113001,0.5749061464581728
113501,0.5760145999298476
114001,0.5770803330106073
114501,0.578050115312321
115001,0.5789454774819804
115501,0.5797570523051851
116001,0.5805397584560745
116501,0.5812850043876601
117001,0.5819665503624256
117501,0.5825579864312569
118001,0.5830568989852469
118501,0.5834626886494825
119001,0.5837957344337357
119501,0.5840937649934956
120001,0.5843983700764703
120501,0.5847127120099509
121001,0.5850075704721658
121501,0.5852541900322843
122001,0.5854390393433435
122501,0.5855598454032533
123001,0.58562528764492
123501,0.5856536167700963
124001,0.5856597920930608
124501,0.5856495893516576
125001,0.5856194094033864
125501,0.5855621090952241
126001,0.5854704777555588
126501,0.5853401946988328
127001,0.5851715785005538
127501,0.5849689307986037
128001,0.5847361523527692
128501,0.5844782215469599
129001,0.5841966276638997
129502,0.5838899402143125
130002,0.5835545323885396
130502,0.5831805442279159
131002,0.582759068773423
131502,0.582286930172814
132002,0.5817819682328322
132502,0.58125645989177
133002,0.5807135389311926
133502,0.5801231334952479
134002,0.5794571605829624
134502,0.5787196640936421
135002,0.5779337431149256
135502,0.5770928909813902
136002,0.5762316667501846
136502,0.5753421098146017
137002,0.5744587269368704
137502,0.5736293031312345
138002,0.5727539830541086
138502,0.5718158114028895
139002,0.5707351981779214
139502,0.5695791559435655
140002,0.5683879316612501
140502,0.5672151860905246
141002,0.565989148442539
141502,0.5648033977831328
142002,0.5635190950910596
142502,0.562186225509931
143002,0.5608509659229635
143502,0.5594305659410834
144002,0.557895456123817
144502,0.556273252582008
145002,0.5546778295809192
145502,0.5530464250580762
146002,0.5513816797631803
146502,0.5496239264558878
147002,0.547912690412369
147502,0.5460731842891156
148002,0.5440911815259624
148502,0.5420692282942754
149002,0.5399834216724593
149502,0.5379364712745558
150002,0.535774964525235
150502,0.5336677908658654
151002,0.5312739978659413
151502,0.5288061382624243
152002,0.5263095841344396
152502,0.5237265016467163
153002,0.5211033005152481
153502,0.5184721465830002
154002,0.5158018476798738
154502,0.5129722595914605
155002,0.5099726686705524
155502,0.5070224261844476
156002,0.5039502343718445
156502,0.5008321521719912
157002,0.4976997850384641
157502,0.4944603300834205
158002,0.491027237000685
158502,0.487570829387155
159002,0.4840229719690698
159502,0.4805222837594367
160002,0.4768879359519926
160502,0.4732137830089778
161002,0.4694599518901799
161502,0.4656071989039032
162002,0.4616018467660015
162502,0.4577667454764065
163002,0.4538131063191007
163502,0.449686305300266
164002,0.4456589453319519
164502,0.4415000772432573
165002,0.4373420070767138
165502,0.4332585683837482
166002,0.429083215450855
166502,0.4247967269231048
167002,0.4206483862622619
167502,0.4163372568524892
168002,0.4120474120474327
168502,0.4079780665085988
169002,0.4037631684317435
169502,0.3994267648230869
170002,0.3952886826939246
170502,0.3911429042541712
171002,0.3869216689789552
171502,0.3828566191097076
172002,0.378931649556262
172502,0.3749872792596489
173002,0.3709639432900704
173502,0.3671876766817463
174002,0.3634633050164775
174502,0.3599297044753691
175002,0.3564818723235124
175502,0.3532003747240158
176002,0.3501350817767703
176502,0.3470958594450202
177002,0.3443502938658065
177502,0.3417014229444681
178002,0.339175205768681
178502,0.3368658536058435
179002,0.3349086456484962
179502,0.3333140118619846
180002,0.3318657333035289
180502,0.3306701425284773
181002,0.3297547515058266
181502,0.3290324548107015
182002,0.3285584003959341
182502,0.3284471781675899
183002,0.3286641878595942
183502,0.3292049648888489
184002,0.330095531245181
184502,0.3313072051623072
185002,0.3327797870018403
185502,0.3344865039064719
186002,0.3365445521761556
186502,0.3390373382601737
187002,0.3417302393406298
187502,0.3447493041436156
188002,0.3481432454040705
188502,0.3518163310876907
189002,0.3558083239008625
189502,0.3603187132211783
190002,0.3650465339239111
190502,0.3699248059612741
191002,0.3751920024901809
191502,0.3806541193977935
192002,0.3862915352573058
192502,0.3922638304756811
193002,0.3984149503797652
193502,0.4046822189661194
194002,0.4112368956983066
194502,0.4178363761758142
195002,0.4245555688120974
195502,0.4312751133889428
196002,0.4379819118536938
196502,0.4446457425367776
197002,0.4513367061220197
197502,0.4579989029066167
198002,0.4645395220845023
198502,0.4709501767192126
199002,0.4773094560577007
199502,0.483534271565033
200002,0.4894906711963205
200502,0.4953527741290651
201002,0.5009617987417332
201502,0.5063391470930683
202002,0.5116127153330863
202502,0.5165490102307573
203002,0.521358907005572
203502,0.525865082328649
204002,0.5301272937644821
204502,0.534242150584334
205002,0.5380470914543583
205502,0.5417788097375558
206002,0.5451639001418529
206502,0.5483960871961961
207002,0.5513220768764853
207502,0.5541511035999871
208002,0.5567687974735824
208502,0.5592623344574419
209002,0.5615679440710701
209502,0.5637000705070478
210002,0.5657142525290191
210502,0.567592027447579
211002,0.5693204393346123
211502,0.5709002916673069
212002,0.5724138532149114
212502,0.5737435928395083
213002,0.5749852742412658
213502,0.5760899658371652
214002,0.5771591673040979
214502,0.5781221633416311
215002,0.5790202953130723
215502,0.5798300382772019
216002,0.5806126561789215
216502,0.581353859132087
217002,0.5820315081665857
217502,0.5826171550662751
218002,0.5831124849328211
218502,0.5835157917993363
219002,0.5838481600729544
219502,0.5841472419603051
220002,0.584451535657456
220502,0.5847654870309384
221002,0.5850586695979441
221502,0.5853040026783936
222002,0.585486883056342
222502,0.5856054824251802
223002,0.5856684639433289
223502,0.5856950788214583
224002,0.5856997246966331
224502,0.5856880245494078
225002,0.5856560413123233
225502,0.585596898173576
226002,0.5855033763849626
226502,0.5853712303510707
227002,0.5852009148453934
227502,0.5849968282366806
228002,0.5847628166229109
228502,0.5845036692524628
229002,0.5842206529652827
229502,0.5839128182189393
230002,0.5835765565786322
230502,0.58320223795403
231002,0.5827804599179565
231502,0.5823072430326921
232002,0.5818002812379601
232502,0.5812714523855853
233002,0.5807288217458597
233502,0.5801419605673945
234002,0.5794815862255358
234502,0.578751682084871
235002,0.5779707965534426
235502,0.5771335127125583
236002,0.5762744329847498
236502,0.5753840457053727
237002,0.5744954579502799
237502,0.5736623658452082
238002,0.5727828677808959
238502,0.5718459903658994
239002,0.5707687333359346
239502,0.5696201606208955
240002,0.5684326562333493
240502,0.5672609266987141
241002,0.5660281125761129
241502,0.5648398604939959
242002,0.563554185529054
242502,0.5622192897649254
243002,0.5608883032858991
243502,0.5594628094552714
244002,0.5579290456467441
244502,0.5563059168728126
245002,0.5547152203359242
245502,0.5530791537987942
246002,0.5514182365932248
246502,0.5496541558756383
247002,0.5479461920368698
247502,0.5460971510475614
248002,0.5441203801479555
248502,0.5420954291977795
249002,0.5400153523387468
249502,0.537967273418521
250002,0.5358070832322588
250502,0.5336999810656236
251002,0.5313057960183263
251502,0.5288381913990963
252002,0.526337552791986
252502,0.5237553643920314
253002,0.5211337914615755
253502,0.5185025333903803
254002,0.5158307013915275
254502,0.5130015227538609
255002,0.5100013560492862
255502,0.5070495464924096
256002,0.5039782906868859
256502,0.5008630444204918
257002,0.4977326772679749
257502,0.4944987237249643
258002,0.4910665421590628
258502,0.4876109237830486
259002,0.4840633709763955
259502,0.4805578446683365
260002,0.4769219545842931
260502,0.4732506725992078
261002,0.4694985182123326
261502,0.4656471374611411
262002,0.4616428355760049
262502,0.4578056819495113
263002,0.4538543630856655
263502,0.4497301681062067
264002,0.4456998605392222
264502,0.4415387249071741
265002,0.4373787946062
265502,0.4332901459931982
266002,0.4291065081529457
266502,0.4248116341502726
267002,0.4206574425947143
267502,0.416346265399538
268002,0.4120628023288961
268502,0.4079939693928523
269002,0.4037840787417595
269502,0.3994564579395743
270002,0.3953219657887088
270502,0.391176865236569
271002,0.386950528941395
271502,0.3828844481206846
272002,0.3789595820138134
272502,0.3750217847631852
273002,0.3710060890985238
273502,0.3672337929374982
274002,0.3635120154682816
274502,0.3599760799219396
275002,0.3565242449451744
275502,0.3532446065283159
276002,0.3501788838434317
276502,0.347144342630765
277002,0.3444144817085701
277502,0.3417755921097949
278002,0.3392480729930114
278502,0.3369361240975397
279002,0.3349674883715619
279502,0.3333675816485095
280002,0.3319225110919362
280502,0.3307297405284439
281002,0.3298210753847124
281502,0.3291066428621641
282002,0.3286334030367224
282502,0.3285199879503449
283002,0.3287319599085616
283502,0.3292661558617802
284002,0.3301513784836618
284502,0.3313620296655071
285002,0.3328361517017588
285502,0.3345436135480926
286002,0.3366045831625508
286502,0.339096956736334
287002,0.3417788773664399
287502,0.3447888075306171
288002,0.3481764889018788
288502,0.3518476752173976
289002,0.3558439495841086
289502,0.3603618694218145
290002,0.3650902280695305
290502,0.3699649689590407
291002,0.375232955633505
291502,0.380694194566533
292002,0.386337221521557
292502,0.3923155416063266
293002,0.3984661341523104
293502,0.4047336629527309
294002,0.4112929685766444
294502,0.4178909916019011
295002,0.4246042420284379
295502,0.4313188962721879
296002,0.438028864142858
296502,0.4446963781843201
297002,0.4513950247563783
297502,0.4580624645263691
298002,0.464605205355878
298502,0.4710129263660507
299002,0.4773737035922532
299502,0.483596861183057
300001,0.4895380629814661
